Orthogroup	Geobacter sulfurreducens PCA	Desulfotalea psychrophila LSv54
OG0001801	WP_010940713.1	WP_011189548.1
OG0001803	WP_235044938.1, WP_010940860.1	WP_011187809.1
OG0001820	WP_010941492.1	WP_011188528.1
OG0001835	WP_010943084.1	WP_011187373.1
OG0001837	WP_010940698.1	WP_041277649.1
OG0001839	WP_010942173.1	WP_011188161.1, WP_011188757.1
OG0001853	WP_010941399.1, WP_010941395.1	WP_011188290.1
OG0001855	WP_010941047.1	WP_041279053.1, WP_041278683.1
OG0001901	WP_010942961.1	WP_041278828.1, WP_011189393.1
OG0001932	WP_010942345.1	WP_228130167.1
OG0001958	WP_010943377.1	WP_041277764.1
OG0001978	WP_010942702.1	WP_041278825.1
OG0001990	WP_010941562.1	WP_041277864.1
OG0002000	WP_010941074.1	WP_011189893.1
OG0002001	WP_010941091.1	WP_011189911.1
OG0002002	WP_010943680.1	WP_011189917.1
OG0002003	WP_010941037.1	WP_011189725.1
OG0002030	WP_010942672.1	WP_041277436.1
OG0002032	WP_235044904.1	WP_228130189.1
OG0002041	WP_010944001.1	WP_011187797.1
OG0002046	WP_010943996.1	WP_041277671.1
OG0002062	WP_010942963.1	WP_011189395.1
OG0002064	WP_010942211.1	WP_041277595.1
OG0002066	WP_010943743.1	WP_156792283.1
OG0002069	WP_010940902.1	WP_011189275.1
OG0002070	WP_010942064.1	WP_011187494.1
OG0002073	WP_010940980.1, WP_010941849.1	WP_083818918.1
OG0002081	WP_010940801.1	WP_011187869.1
OG0002083	WP_010941681.1	WP_228130158.1, WP_041277638.1
OG0002084	WP_010941766.1	WP_011189656.1
OG0002087	WP_010942645.1	WP_041278172.1
OG0002090	WP_010941050.1	WP_011190264.1
OG0002091	WP_010941684.1	WP_049785148.1
OG0002098	WP_010941789.1	WP_049784977.1
OG0002131	WP_010941401.1	WP_011188288.1
OG0002132	WP_010941403.1	WP_041277658.1
OG0002133	WP_010941404.1	WP_011188285.1
OG0002149	WP_010941402.1	WP_011188287.1
OG0002173	WP_010940947.1	WP_049785072.1
OG0002194	WP_010943536.1	WP_011187798.1
OG0002224	WP_010940714.1	WP_011189537.1
OG0002224	WP_010942595.1	WP_193763855.1
OG0002262	WP_010941532.1	WP_011189257.1
OG0002270	WP_010941073.1	WP_011189890.1
OG0002271	WP_010941688.1	WP_011189927.1
OG0002272	WP_010943671.1	WP_041278037.1
OG0002278	WP_010943096.1	WP_011189769.1
OG0002289	WP_010940793.1	WP_041277754.1
OG0002323	WP_010940952.1	WP_011187761.1, WP_011189346.1, WP_011189345.1
OG0002336	WP_010942964.1	WP_011189389.1
OG0002337	WP_010942965.1	WP_011189390.1
OG0002338	WP_010942967.1	WP_156792278.1
OG0002342	WP_010943937.1	WP_011189271.1, WP_041277778.1
OG0002352	WP_010942217.1	WP_041279038.1, WP_011187950.1
OG0002359	WP_010943123.1	WP_041278515.1
OG0002363	WP_010941599.1	WP_049785021.1
OG0002372	WP_010940848.1	WP_011189490.1
OG0002383	WP_010940871.1	WP_041278123.1
OG0002386	WP_010943656.1	WP_011187495.1, WP_011187332.1
OG0002388	WP_010940913.1	WP_041278589.1
OG0002389	WP_235044996.1	WP_041278106.1, WP_011187442.1
OG0002390	WP_010943752.1	WP_041278119.1
OG0002393	WP_010943388.1	WP_011189153.1
OG0002397	WP_235044986.1	WP_162096629.1
OG0002407	WP_010943422.1	WP_011190293.1
OG0002463	WP_010942679.1	WP_083818946.1
OG0002469	WP_010943936.1	WP_228130191.1
OG0002486	WP_250546393.1	WP_011189296.1
OG0002521	WP_010943155.1	WP_156792303.1
OG0002682	WP_010941435.1	WP_011189944.1
OG0002704	WP_010941726.1	WP_011188701.1
OG0002722	WP_010942232.1	WP_041278029.1
OG0002726	WP_010941237.1, WP_010943314.1	WP_011189437.1
OG0002732	WP_010942055.1	WP_083819000.1
OG0002749	WP_010942697.1	WP_011187602.1
OG0002757	WP_010943861.1	WP_083818990.1
OG0002760	WP_010941659.1	WP_011189990.1
OG0002762	WP_235044915.1	WP_011187288.1
OG0002793	WP_010940855.1	WP_011187641.1
OG0002796	WP_010943380.1	WP_011187598.1, WP_011189987.1
OG0002803	WP_010942010.1	WP_156792189.1
OG0002806	WP_010941814.1	WP_011188763.1, WP_011190413.1, WP_011188762.1
OG0002972	WP_235044867.1	WP_041277761.1
OG0002973	WP_010942678.1	WP_011188707.1
OG0003056	WP_235044956.1	WP_041277855.1
OG0003120	WP_010941677.1	WP_011187802.1
OG0003212	WP_010943329.1	WP_011187901.1
OG0003228	WP_010941866.1	WP_011188619.1
OG0003233	WP_010941987.1	WP_156792182.1
OG0003303	WP_010942734.1	WP_011188531.1
OG0003304	WP_010943818.1	WP_011188794.1
OG0003389	WP_010942986.1	WP_011188225.1
OG0003691	WP_010942765.1	WP_011189253.1
OG0004024	WP_010942890.1	WP_011190436.1
OG0004041	WP_010943128.1	WP_011190059.1
OG0004091	WP_010943776.1	WP_011187588.1
OG0004106	WP_010941989.1	WP_011187637.1
OG0005450	WP_010942019.1	WP_011187257.1
OG0005453	WP_164930412.1	WP_011187431.1
OG0005460	WP_010940923.1	WP_011188618.1
OG0005476	WP_235044946.1	WP_011189348.1
OG0005490	WP_010940732.1	WP_041277462.1
OG0005493	WP_010941750.1	WP_041277807.1
OG0005500	WP_010942817.1	WP_162096674.1
