Orthogroup	Shewanella oneidensis MR-1	Desulfovibrio vulgaris DP4
OG0002419	WP_011071120.1	WP_010939560.1, WP_010940541.1, WP_011792076.1
OG0002423	WP_011071153.1	WP_010939714.1
OG0002424	WP_011070510.1	WP_010940077.1, WP_011791820.1, WP_010937891.1
OG0002425	WP_011074000.1	WP_011791503.1, WP_011792715.1, WP_011792857.1
OG0002431	WP_011073916.1	WP_010940240.1
OG0002440	WP_011071465.1	WP_011793173.1
OG0002442	WP_011071561.1	WP_011792156.1
OG0002445	WP_011073901.1	WP_011791803.1
OG0002447	WP_011073585.1	WP_010939267.1
OG0002450	WP_011073352.1	WP_011792525.1
OG0002451	WP_011071203.1	WP_011791501.1
OG0002452	WP_011071520.1	WP_010940391.1
OG0002454	WP_011073720.1	WP_010939127.1
OG0002458	WP_011072219.1	WP_010940204.1
OG0002461	WP_164925826.1	WP_011792234.1
OG0002473	WP_011072063.1	WP_010939688.1
OG0002476	WP_011071967.1	WP_011792126.1
OG0002478	WP_011073078.1	WP_223294616.1
OG0002480	WP_011072136.1	WP_010938337.1
OG0002484	WP_011071356.1, WP_011071355.1	WP_010938692.1
OG0002508	WP_011071582.1	WP_010940209.1
OG0002513	WP_011073378.1	WP_011791755.1
OG0002625	WP_011071953.1, WP_011072034.1, WP_164925883.1	WP_011791816.1
OG0002652	WP_011071384.1	WP_014524311.1
OG0002700	WP_011073063.1	WP_011792173.1
OG0002709	WP_011070846.1	WP_010937553.1, WP_010940507.1
OG0002763	WP_011072222.1	WP_011792825.1
OG0002766	WP_011070534.1	WP_014524345.1
OG0002778	WP_011072029.1	WP_011791707.1
OG0002779	WP_011072472.1	WP_010940063.1
OG0002780	WP_011072044.1	WP_011792540.1
OG0002781	WP_011072475.1	WP_010940060.1
OG0002782	WP_011071930.1	WP_258312770.1
OG0002792	WP_011071927.1	WP_010940248.1
OG0002797	WP_011071778.1, WP_011070417.1, WP_011072322.1	WP_011791702.1
OG0002798	WP_011071492.1	WP_010937407.1
OG0002799	WP_011073668.1	WP_011792230.1
OG0002805	WP_011073946.1, WP_011070471.1	WP_011792908.1
OG0002807	WP_011070472.1, WP_011073945.1	WP_010937719.1
OG0002809	WP_011070734.1, WP_011070733.1	WP_011791542.1
OG0002810	WP_011072666.1, WP_011073919.1	WP_043629245.1
OG0002814	WP_011071879.1, WP_011073942.1	WP_011792829.1
OG0002825	WP_011071570.1	WP_011792876.1
OG0002841	WP_011071112.1	WP_043629042.1
OG0002877	WP_011073217.1	WP_010940329.1
OG0002881	WP_011071715.1	WP_011792868.1
OG0002882	WP_011072378.1	WP_011792253.1
OG0002887	WP_011074352.1	WP_043629647.1
OG0002899	WP_011071015.1	WP_223294591.1
OG0003122	WP_011072621.1	WP_010939582.1, WP_010938690.1
OG0003157	WP_011073740.1	WP_011787364.1, WP_011791880.1
OG0003169	WP_011071255.1	WP_011792898.1
OG0003196	WP_011070520.1	WP_010939138.1
OG0003200	WP_011071685.1	WP_011791662.1
OG0003210	WP_164925960.1	WP_011793065.1, WP_011792278.1
OG0003267	WP_011074293.1	WP_011792749.1
OG0003272	WP_011073873.1	WP_010939583.1
OG0003299	WP_164925770.1	WP_011792227.1
OG0003303	WP_011073003.1	WP_011792917.1
OG0003305	WP_011074045.1	WP_010939818.1
OG0003307	WP_011072432.1	WP_010937746.1
OG0003309	WP_011073666.1	WP_010939058.1
OG0003312	WP_011070756.1, WP_011070757.1	WP_010940519.1
OG0003314	WP_011073997.1	WP_011791677.1
OG0003315	WP_011070828.1, WP_011070640.1	WP_010938349.1
OG0003317	WP_011071017.1	WP_010938508.1
OG0003318	WP_011073754.1	WP_011792434.1
OG0003319	WP_011072558.1	WP_011791457.1
OG0003321	WP_011074189.1, WP_011071461.1	WP_011792797.1
OG0003323	WP_164925594.1, WP_164925598.1, WP_274544344.1	WP_081428924.1
OG0003344	WP_011071860.1	WP_010939951.1
OG0003412	WP_011073423.1	WP_010938024.1
OG0003440	WP_164925739.1	WP_190275039.1
OG0003542	WP_011071606.1	WP_010939481.1
OG0004102	WP_011074113.1	WP_223294626.1
OG0004103	WP_011073072.1	WP_223294675.1
OG0004104	WP_011071420.1	WP_010938248.1
OG0004115	WP_011070555.1	WP_011793147.1
OG0004131	WP_011070759.1	WP_011791410.1
OG0004142	WP_011073094.1	WP_011792379.1
OG0004149	WP_011070636.1	WP_010938347.1
OG0004161	WP_011074279.1	WP_011792114.1
OG0004164	WP_164925851.1	WP_010938832.1
OG0004171	WP_011070512.1	WP_010937880.1
OG0004173	WP_011071525.1	WP_010940649.1
OG0004174	WP_011073169.1	WP_011791444.1
OG0005743	WP_011072506.1	WP_010938067.1
OG0005747	WP_011072069.1	WP_010939050.1
OG0005749	WP_011072701.1	WP_010939227.1
OG0005750	WP_011071642.1	WP_010939316.1
OG0005756	WP_164925640.1	WP_011787344.1
OG0005759	WP_011071714.1	WP_011791524.1
OG0005762	WP_011073373.1	WP_011791871.1
OG0005765	WP_011072861.1	WP_011791883.1
OG0005766	WP_011072869.1	WP_011791888.1
OG0005767	WP_165443314.1	WP_011791890.1
OG0005768	WP_011072178.1	WP_011791979.1
OG0005769	WP_011072910.1	WP_011792003.1
OG0005770	WP_011072906.1	WP_011792004.1
OG0005796	WP_011071825.1	WP_011792986.1
OG0005799	WP_011073669.1	WP_041722858.1
OG0005806	WP_165443313.1	WP_223294659.1
