Orthogroup	Shewanella oneidensis MR-1	Desulfovibrio ferrophilus IS5
OG0001823	WP_011073262.1, WP_011073700.1, WP_011073280.1	WP_126376946.1
OG0001841	WP_011074205.1	WP_126375601.1
OG0001843	WP_011073938.1	WP_126378517.1
OG0001844	WP_011071169.1	WP_232034772.1
OG0001845	WP_011071765.1	WP_126378931.1
OG0001846	WP_011072427.1, WP_011071381.1	WP_126380269.1
OG0001859	WP_011073703.1, WP_011072255.1	WP_126379310.1
OG0001893	WP_011070528.1	WP_126378955.1
OG0001896	WP_011072398.1	WP_126380923.1
OG0001917	WP_011070579.1	WP_232034824.1
OG0001968	WP_011073150.1	WP_126381005.1
OG0001989	WP_011072023.1	WP_126379643.1
OG0002050	WP_164925931.1	WP_126380344.1
OG0002068	WP_011072979.1	WP_126376724.1
OG0002073	WP_164925839.1	WP_126378940.1
OG0002074	WP_011071748.1	WP_126380041.1
OG0002078	WP_011070439.1	WP_126379443.1
OG0002079	WP_011074301.1	WP_126378933.1, WP_126377425.1
OG0002080	WP_011072447.1, WP_011070701.1, WP_011071272.1	WP_126379557.1
OG0002082	WP_011072543.1	WP_126375695.1
OG0002086	WP_011071700.1	WP_126380878.1
OG0002088	WP_011071491.1	WP_126380570.1, WP_126380049.1
OG0002089	WP_011071333.1	WP_126378185.1
OG0002090	WP_011071092.1	WP_126380431.1
OG0002091	WP_011071361.1, WP_011071463.1	WP_172961754.1
OG0002094	WP_011074326.1	WP_269471678.1
OG0002098	WP_011071322.1	WP_126377942.1
OG0002100	WP_011070758.1	WP_126376472.1
OG0002103	WP_011073820.1	WP_126376490.1
OG0002109	WP_011070855.1	WP_126377185.1
OG0002112	WP_011073528.1, WP_011072152.1	WP_126377164.1
OG0002116	WP_011074215.1	WP_126379483.1
OG0002117	WP_011072978.1, WP_011072460.1	WP_126375838.1
OG0002140	WP_011073513.1	WP_172961607.1
OG0002142	WP_011073701.1	WP_126376948.1
OG0002148	WP_164925744.1, WP_164925817.1	WP_126377992.1
OG0002150	WP_011072813.1	WP_126380835.1
OG0002156	WP_011070954.1	WP_126379026.1, WP_126379771.1
OG0002171	WP_011072238.1	WP_126380525.1
OG0002234	WP_011070461.1	WP_126377814.1
OG0002354	WP_011071324.1	WP_126376202.1
OG0002370	WP_011072054.1	WP_126381496.1, WP_126375902.1, WP_232034816.1
OG0002411	WP_011072473.1	WP_172961618.1
OG0002413	WP_011070841.1	WP_126375558.1
OG0002423	WP_011071153.1	WP_126379553.1
OG0002424	WP_011070510.1	WP_126377879.1, WP_126376535.1
OG0002425	WP_011074000.1	WP_126380775.1
OG0002431	WP_011073916.1	WP_126378240.1
OG0002440	WP_011071465.1	WP_126380476.1
OG0002442	WP_011071561.1	WP_126377016.1
OG0002445	WP_011073901.1	WP_126378727.1
OG0002447	WP_011073585.1	WP_126380859.1
OG0002454	WP_011073720.1	WP_126377366.1
OG0002455	WP_011071451.1	WP_126379234.1
OG0002458	WP_011072219.1	WP_126380456.1
OG0002462	WP_011071171.1	WP_126381090.1
OG0002473	WP_011072063.1	WP_197723433.1
OG0002476	WP_011071967.1	WP_126380858.1
OG0002480	WP_011072136.1	WP_126378382.1
OG0002485	WP_011071809.1	WP_126378433.1
OG0002513	WP_011073378.1	WP_172961600.1
OG0002553	WP_011071196.1	WP_126378039.1, WP_126378929.1
OG0002554	WP_011072776.1	WP_126380741.1
OG0002652	WP_011071384.1	WP_126379866.1
OG0002700	WP_011073063.1	WP_126375770.1
OG0002706	WP_011071310.1, WP_011070710.1	WP_126379904.1
OG0002766	WP_011070534.1	WP_126378976.1
OG0002780	WP_011072044.1	WP_126378911.1
OG0002781	WP_011072475.1	WP_126376585.1
OG0002782	WP_011071930.1	WP_126375598.1
OG0002792	WP_011071927.1	WP_126375595.1
OG0002798	WP_011071492.1	WP_126380568.1, WP_126380051.1
OG0002805	WP_011073946.1, WP_011070471.1	WP_126381287.1
OG0002807	WP_011070472.1, WP_011073945.1	WP_126377045.1
OG0002809	WP_011070734.1, WP_011070733.1	WP_126375985.1
OG0002810	WP_011072666.1, WP_011073919.1	WP_126377246.1, WP_126380767.1
OG0002812	WP_011071493.1, WP_011072125.1, WP_011071485.1, WP_011073473.1	WP_126378652.1
OG0002813	WP_011073499.1, WP_011073957.1, WP_011070504.1, WP_011071444.1	WP_126380972.1
OG0002825	WP_011071570.1	WP_126380759.1
OG0002877	WP_011073217.1	WP_126378447.1
OG0002881	WP_011071715.1	WP_126377944.1
OG0002882	WP_011072378.1	WP_126377143.1
OG0002887	WP_011074352.1	WP_126381372.1
OG0002899	WP_011071015.1	WP_126378273.1
OG0002952	WP_011071857.1, WP_164925704.1	WP_126379246.1
OG0003024	WP_011074300.1	WP_126378699.1
OG0003163	WP_011071840.1	WP_126379156.1
OG0003169	WP_011071255.1	WP_126380657.1
OG0003200	WP_011071685.1	WP_126377236.1
OG0003223	WP_164925648.1	WP_126378978.1
OG0003231	WP_011074197.1, WP_011072728.1	WP_126380879.1
OG0003249	WP_011071604.1	WP_126377390.1
OG0003265	WP_238560606.1	WP_126379892.1, WP_126379951.1
OG0003291	WP_238560494.1, WP_164925678.1	WP_126378441.1
OG0003305	WP_011074045.1	WP_126376410.1
OG0003307	WP_011072432.1	WP_126380427.1
OG0003309	WP_011073666.1	WP_126377632.1
OG0003312	WP_011070756.1, WP_011070757.1	WP_126376470.1
OG0003314	WP_011073997.1	WP_126378219.1, WP_126379930.1
OG0003315	WP_011070828.1, WP_011070640.1	WP_126378413.1
OG0003317	WP_011071017.1	WP_126378986.1
OG0003318	WP_011073754.1	WP_126379627.1
OG0003319	WP_011072558.1	WP_126380378.1
OG0003321	WP_011074189.1, WP_011071461.1	WP_232034819.1
OG0003396	WP_011074085.1	WP_126377326.1
OG0003455	WP_011071193.1	WP_126381621.1
OG0003802	WP_011070496.1	WP_232034869.1
OG0003870	WP_238560503.1	WP_126380482.1
OG0004054	WP_011073504.1	WP_126376821.1
OG0004126	WP_011071325.1	WP_126375787.1
OG0004128	WP_011073644.1	WP_126375917.1
OG0004129	WP_011073971.1	WP_126379587.1, WP_126375991.1
OG0004131	WP_011070759.1	WP_126376474.1
OG0004142	WP_011073094.1	WP_126377280.1
OG0004149	WP_011070636.1	WP_126378409.1
OG0004159	WP_011072779.1, WP_011072040.1	WP_126379589.1
OG0004161	WP_011074279.1	WP_126379749.1
OG0004164	WP_164925851.1	WP_126380796.1
OG0004171	WP_011070512.1	WP_172961617.1
OG0004173	WP_011071525.1	WP_172961691.1
OG0004174	WP_011073169.1	WP_172961751.1
OG0005559	WP_011073578.1	WP_126377218.1
OG0005661	WP_011073064.1	WP_126380185.1
