Orthogroup	Shewanella oneidensis MR-1	Desulfotalea psychrophila LSv54
OG0002092	WP_011073338.1	WP_041277544.1, WP_041277547.1
OG0002098	WP_011071322.1	WP_049784977.1
OG0002138	WP_011070853.1, WP_011073249.1	WP_011189388.1
OG0002164	WP_011070685.1	WP_011190255.1
OG0002208	WP_011071154.1	WP_011187760.1
OG0002269	WP_011071547.1	WP_011189328.1
OG0002274	WP_011072414.1	WP_011189423.1
OG0002289	WP_011072448.1	WP_041277754.1
OG0002303	WP_011071980.1	WP_011187480.1
OG0002312	WP_011071349.1	WP_011189045.1
OG0002320	WP_011073544.1	WP_049785166.1, WP_156792219.1
OG0002323	WP_011073976.1	WP_011187761.1, WP_011189346.1, WP_011189345.1
OG0002336	WP_011073248.1	WP_011189389.1
OG0002337	WP_011073247.1	WP_011189390.1
OG0002338	WP_011073245.1	WP_156792278.1
OG0002354	WP_011071324.1	WP_011190244.1
OG0002362	WP_011073079.1	WP_041277424.1
OG0002368	WP_011071051.1	WP_049785028.1
OG0002372	WP_011071096.1	WP_011189490.1
OG0002375	WP_011073036.1	WP_041277554.1
OG0002376	WP_011073564.1	WP_041279020.1
OG0002388	WP_011074029.1	WP_041278589.1
OG0002392	WP_011072443.1	WP_011189707.1
OG0002393	WP_011073956.1	WP_011189153.1
OG0002395	WP_011073670.1	WP_011187720.1, WP_156792289.1
OG0002403	WP_011073332.1	WP_011189498.1
OG0002411	WP_011072473.1	WP_198408696.1
OG0002423	WP_011071153.1	WP_198408702.1, WP_011189612.1
OG0002437	WP_007648439.1	WP_011187913.1
OG0002448	WP_011072527.1	WP_011187911.1
OG0002465	WP_011072480.1	WP_011189232.1
OG0002553	WP_011071196.1	WP_041278067.1
OG0002651	WP_011070925.1	WP_049784974.1
OG0002677	WP_238560508.1	WP_162096660.1
OG0002680	WP_011071601.1	WP_011189308.1
OG0002700	WP_011073063.1	WP_011187277.1
OG0002715	WP_011074178.1	WP_041277476.1
OG0002724	WP_011071050.1	WP_011188636.1
OG0002726	WP_011074144.1	WP_011189437.1
OG0002736	WP_011073388.1	WP_011188474.1
OG0002738	WP_011074009.1	WP_198408695.1
OG0002739	WP_011072737.1	WP_011187867.1
OG0002741	WP_011072012.1	WP_011188165.1
OG0002742	WP_011072223.1	WP_011190189.1
OG0002743	WP_011071365.1	WP_041278445.1
OG0002748	WP_011073569.1	WP_011187868.1
OG0002755	WP_011071125.1	WP_011187536.1
OG0002757	WP_011070691.1	WP_083818990.1
OG0002762	WP_011073073.1	WP_011187288.1
OG0002763	WP_011072222.1	WP_011188977.1
OG0002764	WP_011073371.1, WP_011072961.1	WP_011188516.1, WP_011188515.1
OG0002769	WP_011073496.1, WP_011072339.1	WP_011190298.1
OG0002779	WP_011072472.1	WP_011188020.1
OG0002793	WP_011072759.1	WP_011187641.1
OG0002796	WP_011074061.1	WP_011187598.1, WP_011189987.1
OG0002799	WP_011073668.1	WP_041277528.1, WP_049785099.1
OG0002801	WP_011070668.1, WP_011071736.1	WP_011188579.1
OG0002803	WP_011071612.1, WP_011070731.1	WP_156792189.1
OG0002805	WP_011073946.1, WP_011070471.1	WP_011188216.1
OG0002807	WP_011070472.1, WP_011073945.1	WP_041278370.1
OG0003056	WP_011073205.1	WP_041277855.1
OG0003074	WP_011073502.1	WP_011187813.1
OG0003129	WP_011073069.1	WP_156792159.1
OG0003177	WP_011074049.1	WP_011188649.1
OG0003236	WP_011071732.1, WP_011073219.1	WP_041277542.1
OG0003241	WP_011073568.1	WP_011188617.1
OG0003244	WP_011070507.1	WP_041277952.1
OG0003245	WP_011070505.1	WP_011189592.1
OG0003272	WP_011073873.1	WP_011189637.1
OG0003274	WP_011071345.1	WP_011187774.1
OG0003294	WP_011070530.1	WP_011189436.1
OG0003295	WP_011070508.1	WP_011189594.1
OG0003299	WP_164925770.1	WP_041277959.1
OG0003303	WP_011073003.1	WP_011188531.1
OG0003304	WP_011070910.1, WP_011072503.1	WP_011188794.1
OG0003305	WP_011074045.1	WP_011189216.1
OG0003307	WP_011072432.1	WP_011189726.1
OG0003308	WP_011073613.1, WP_011073174.1, WP_011074424.1	WP_049785129.1
OG0003309	WP_011073666.1	WP_265588608.1
OG0003388	WP_011074317.1	WP_011189322.1
OG0003744	WP_011071003.1	WP_011188830.1
OG0003782	WP_011070863.1	WP_011187540.1
OG0003836	WP_011071086.1	WP_041277513.1
OG0003848	WP_011070538.1	WP_011188530.1
OG0003854	WP_011072609.1	WP_011187739.1
OG0003869	WP_011071944.1	WP_011190216.1
OG0003935	WP_011073250.1	WP_011189387.1
OG0004072	WP_011071446.1	WP_228130139.1
OG0004084	WP_011073277.1	WP_041278092.1
OG0004098	WP_011071267.1	WP_011187478.1
OG0004103	WP_011073072.1	WP_011187287.1
OG0004104	WP_011071420.1	WP_011187401.1
OG0004108	WP_011071760.1	WP_049785171.1, WP_011187812.1
OG0004110	WP_011070434.1, WP_011074088.1	WP_011188489.1
OG0004115	WP_011070555.1	WP_011190109.1
OG0005451	WP_011073066.1	WP_011187282.1
OG0005454	WP_011074176.1	WP_011187498.1
OG0005457	WP_011072664.1	WP_011187832.1
OG0005458	WP_011072997.1	WP_011188117.1
OG0005461	WP_164925629.1	WP_011188638.1
OG0005463	WP_011071583.1	WP_011188735.1
OG0005465	WP_011071006.1	WP_011188834.1
OG0005466	WP_011071008.1	WP_011188837.1
OG0005468	WP_011073780.1	WP_011189055.1
OG0005479	WP_011071603.1	WP_011189595.1
OG0005481	WP_011072800.1	WP_011189746.1
OG0005482	WP_011073998.1	WP_011189955.1
OG0005489	WP_011073018.1	WP_041277444.1
